pareto_index,pick_count,pick_pct,Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
16,146,36.5,noisefitstress,uUS,tiny,0.5,1.0,low,edge,2.925807428894864,1.0,184.03587685425455,3.675228345720655,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.9654153597466588,2.925807428894864,1.0,305.4212086683117,184.03587685425455,3.625228345720655,3.675228345720655,1.6301169376750497,676.3738712443121,538.4535356833583,292.42570155373863,15.241143920765987,0.0,0.3494138715168296,0.5682245339075913,0.16515539434050283,0.2908517790447689,L2_Edge
2,74,18.5,baseline,ECG,tiny,2.0,1.0,high,edge,1.3231013159408866,0.971375,294.9094926620268,3.1322792057996307,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5490984175402411,1.3231013159408866,0.9225,243.02542470864384,294.9094926620268,3.082279205799631,3.1322792057996307,1.017261252908556,923.7388714581854,390.19513782458694,156.9651960438129,16.784191385188162,0.0,0.48589476233148277,0.38480850016382917,0.0889829981105777,0.08610299185189645,L1_Device
20,55,13.75,noisefitstress,uUS,base,1.0,1.0,low,edge,1.832022538138128,1.0,297.1764610745331,3.8028054340129,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.9236236650450347,1.832022538138128,1.0,315.7516234161479,297.1764610745331,3.6728054340129,3.8028054340129,1.0095012199662703,1130.1042610349575,544.4339744926727,183.10517318621314,15.764663212841711,0.0,0.4578108522537246,0.45174744964467056,0.18305366842317394,0.12561361228704374,L1_Device
0,50,12.5,baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
12,45,11.25,noisefitstress,ECG,tiny,2.0,1.0,high,edge,1.3355893255568787,0.9595,296.71801919360735,3.127840284611597,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5637194867669797,1.335589325556879,0.9225,244.58449930483394,296.71801919360735,3.077840284611597,3.127840284611597,1.0110609420193357,928.086573603922,396.2934191353631,158.44670230032912,11.336097064401663,0.0,0.48759842077435445,0.3275404131110558,0.08836024500405744,0.08834229110815178,L1_Device
10,22,5.5,noisefitstress,PPG,tiny,0.5,1.0,high,edge,4.191622724404753,0.9292,99.28982746311848,3.338280645385628,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.4537939956184056,4.191622724404753,0.9225,154.08897761271157,99.28982746311848,3.2882806453856284,3.338280645385628,3.021457561817558,331.4573093038068,416.18549709663455,361.77579149975486,25.669330449096673,0.0,0.2912072718044111,0.8079331343500037,0.11788372218643137,0.39567455934306767,L2_Edge
4,3,0.75,baseline,NIRS,base,1.0,1.0,high,edge,1.3921563296840058,0.9867125,246.8918286816509,3.9027759088532425,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.2738685369657572,1.392156329684006,0.9225,259.8798096462788,246.8918286816509,3.7727759088532427,3.9027759088532425,1.2151070434446343,963.5634810714691,343.7120220464195,201.5342193492482,8.293119305490947,0.0,0.44040204831619034,0.2935654159800786,0.1970789058918989,0.15346914727710328,L1_Device
15,2,0.5,noisefitstress,NIRS,large,1.0,1.0,high,edge,1.2133210398474097,0.97465,299.49150196433123,3.991621637552585,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.1630964216402184,1.2133210398474097,0.9225,275.47259804262626,299.49150196433123,3.761621637552585,3.991621637552585,1.0016978713330214,1195.456759503947,363.3793405888249,175.64529454904581,7.595940669408385,0.0,0.4902099463944828,0.2684983290781238,0.20954341048768318,0.11433799288922518,L1_Device
1,2,0.5,baseline,PPG,base,0.5,1.0,high,edge,3.5332382908104805,0.9407,114.27866932047348,3.4306964862044413,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2860963771059355,3.533238290810481,0.9225,144.6838133149621,114.27866932047347,3.3006964862044414,3.4306964862044413,2.6251618240207653,392.0554292858676,403.7737702659658,304.9511283000127,22.99351873984017,0.0,0.30801967196703284,0.7029954257336483,0.13084909136593917,0.30978398312682787,L2_Edge
3,1,0.25,baseline,NIRS,base,0.5,1.0,high,edge,2.0052327671865777,0.9867125,178.94694435766752,3.8999184383156575,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.297437361143224,2.0052327671865777,0.9225,237.06706336809643,178.94694435766752,3.7699184383156576,3.8999184383156575,1.676474561087668,697.8784877807136,358.83027641390817,290.28566097904263,14.520233265226423,0.0,0.37461365021999404,0.4325560657483375,0.19667802050135214,0.28761710403331,L2_Edge
